Report Number,URL,Congress,Accompanies,Title,Committee
H. Rept. 116-85,https://www.congress.gov/congressional-report/116th-congress/house-report/85/1,116th Congress (2019-2020),H.R. 1322,"TO REQUIRE A REPORT ON THE EFFECTS OF CLIMATE CHANGE ON THE COAST GUARD, AND FOR OTHER PURPOSES",House Transportation and Infrastructure
H. Rept. 116-84,https://www.congress.gov/congressional-report/116th-congress/house-report/84/1,116th Congress (2019-2020),H.R. 2968,"DEPARTMENT OF DEFENSE APPROPRIATIONS BILL, 2020",House Appropriations
H. Rept. 116-83,https://www.congress.gov/congressional-report/116th-congress/house-report/83/1,116th Congress (2019-2020),H.R. 2960,"ENERGY AND WATER DEVELOPMENT AND RELATED AGENCIES APPROPRIATIONS BILL, 2020",House Appropriations
H. Rept. 116-82,https://www.congress.gov/congressional-report/116th-congress/house-report/82/1,116th Congress (2019-2020),H.R. 988,NATIONAL ESTUARIES AND ACIDIFICATION RESEARCH ACT OF 2019,"House Science, Space, and Technology"
H. Rept. 116-81,https://www.congress.gov/congressional-report/116th-congress/house-report/81/1,116th Congress (2019-2020),H.R. 1716,COASTAL COMMUNITIES OCEAN ACIDIFICATION ACT OF 2019,"House Science, Space, and Technology"
H. Rept. 116-80,https://www.congress.gov/congressional-report/116th-congress/house-report/80/1,116th Congress (2019-2020),,"REPORT on the REVISED SUBALLOCATION OF BUDGET ALLOCATIONS FOR FISCAL YEAR 2020 SUBMITTED BY MRS. LOWEY, CHAIRWOMAN, COMMITTEE ON APPROPRIATIONS",House Appropriations
H. Rept. 116-79,https://www.congress.gov/congressional-report/116th-congress/house-report/79/1,116th Congress (2019-2020),H.Res. 389,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1500) TO REQUIRE THE CONSUMER FINANCIAL PROTECTION BUREAU TO MEET ITS STATUTORY PURPOSE, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1994) TO AMEND THE INTERNAL REVENUE CODE OF 1986 TO ENCOURAGE RETIREMENT SAVINGS, AND FOR OTHER PURPOSES; PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM MAY 24, 2019, THROUGH MAY 31, 2019; AND FOR OTHER PURPOSES",House Rules
H. Rept. 116-78,https://www.congress.gov/congressional-report/116th-congress/house-report/78/1,116th Congress (2019-2020),H.R. 2839,"STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS APPROPRIATIONS BILL, 2020",House Appropriations
H. Rept. 116-77,https://www.congress.gov/congressional-report/116th-congress/house-report/77/1,116th Congress (2019-2020),H.R. 2340,FOSTERING INTERGOVERNMENTAL HEALTH TRANSPARENCY IN VETERAN SUICIDES ACT,House Veterans' Affairs
"H. Rept. 116-76,Part 2",https://www.congress.gov/congressional-report/116th-congress/house-report/76/2,116th Congress (2019-2020),H.R. 1947,"TO AMEND TITLE 38, UNITED STATES CODE, TO EXEMPT TRANSFERS OF FUNDS FROM FEDERAL AGENCIES TO THE DEPARTMENT OF VETERANS AFFAIRS FOR NONPROFIT CORPORATIONS ESTABLISHED UNDER SUBCHAPTER IV OF CHAPTER 73 OF SUCH TITLE FROM CERTAIN PROVISIONS OF THE ECONOMY ACT",House Veterans' Affairs
H. Rept. 116-76,https://www.congress.gov/congressional-report/116th-congress/house-report/76/1,116th Congress (2019-2020),H.R. 1947,"TO AMEND TITLE 38, UNITED STATES CODE, TO EXEMPT TRANSFERS OF FUNDS FROM FEDERAL AGENCIES TO THE DEPARTMENT OF VETERANS AFFAIRS FOR NONPROFIT CORPORATIONS ESTABLISHED UNDER SUBCHAPTER IV OF CHAPTER 73 OF SUCH TITLE FROM CERTAIN PROVISIONS OF THE ECONOMY ACT",House Veterans' Affairs
H. Rept. 116-75,https://www.congress.gov/congressional-report/116th-congress/house-report/75/1,116th Congress (2019-2020),H.R. 1812,VET CENTER ELIGIBILITY EXPANSION ACT,House Veterans' Affairs
H. Rept. 116-74,https://www.congress.gov/congressional-report/116th-congress/house-report/74/1,116th Congress (2019-2020),H.R. 2480,STRONGER CHILD ABUSE PREVENTION AND TREATMENT ACT,House Education and Labor
H. Rept. 116-73,https://www.congress.gov/congressional-report/116th-congress/house-report/73/1,116th Congress (2019-2020),H.R. 2326,NAVY SEAL CHIEF PETTY OFFICER WILLIAM ``BILL'' MULDER (RET.) TRANSITION IMPROVEMENT ACT OF 2019,House Veterans' Affairs
H. Rept. 116-72,https://www.congress.gov/congressional-report/116th-congress/house-report/72/1,116th Congress (2019-2020),H.R. 2372,VETERANS' CARE QUALITY TRANSPARENCY ACT,House Veterans' Affairs
H. Rept. 116-71,https://www.congress.gov/congressional-report/116th-congress/house-report/71/1,116th Congress (2019-2020),H.R. 2359,WHOLE VETERAN ACT,House Veterans' Affairs
H. Rept. 116-70,https://www.congress.gov/congressional-report/116th-congress/house-report/70/1,116th Congress (2019-2020),H.R. 2333,SUPPORT FOR SUICIDE PREVENTION COORDINATORS ACT,House Veterans' Affairs
H. Rept. 116-69,https://www.congress.gov/congressional-report/116th-congress/house-report/69/1,116th Congress (2019-2020),H.R. 2045,"TO AMEND TITLE 38, UNITED STATES CODE, TO ESTABLISH THE VETERANS ECONOMIC OPPORTUNITY AND TRANSITION ADMINISTRATION AND THE UNDER SECRETARY FOR VETERANS ECONOMIC OPPORTUNITY AND TRANSITION OF THE DEPARTMENT OF VETERANS AFFAIRS, AND FOR OTHER PURPOSES",House Veterans' Affairs
H. Rept. 116-68,https://www.congress.gov/congressional-report/116th-congress/house-report/68/1,116th Congress (2019-2020),H.R. 1200,VETERANS' COMPENSATION COST-OF-LIVING ADJUSTMENT ACT OF 2019,House Veterans' Affairs
H. Rept. 116-67,https://www.congress.gov/congressional-report/116th-congress/house-report/67/1,116th Congress (2019-2020),H.R. 1775,NOTICE TO AIRMEN IMPROVEMENT ACT OF 2019,House Transportation and Infrastructure
H. Rept. 116-66,https://www.congress.gov/congressional-report/116th-congress/house-report/66/1,116th Congress (2019-2020),H.R. 1318,TO DIRECT THE LIBRARIAN OF CONGRESS TO OBTAIN A STAINED GLASS PANEL DEPICTING THE SEAL OF THE DISTRICT OF COLUMBIA AND INSTALL THE PANEL AMONG THE STAINED GLASS PANELS DEPICTING THE SEALS OF STATES WHICH OVERLOOK THE MAIN READING ROOM OF THE LIBRARY OF CONGRESS THOMAS JEFFERSON BUILDING,House Transportation and Infrastructure
H. Rept. 116-65,https://www.congress.gov/congressional-report/116th-congress/house-report/65/1,116th Congress (2019-2020),H.R. 1994,SETTING EVERY COMMUNITY UP FOR RETIREMENT ENHANCEMENT ACT OF 2019,House Ways and Means
H. Rept. 116-64,https://www.congress.gov/congressional-report/116th-congress/house-report/64/1,116th Congress (2019-2020),H.R. 2779,"LEGISLATIVE BRANCH APPROPRIATIONS BILL, 2020",House Appropriations
H. Rept. 116-63,https://www.congress.gov/congressional-report/116th-congress/house-report/63/1,116th Congress (2019-2020),H.R. 2745,"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES APPROPRIATIONS BILL, 2020",House Appropriations
H. Rept. 116-62,https://www.congress.gov/congressional-report/116th-congress/house-report/62/1,116th Congress (2019-2020),H.R. 2740,"DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS BILL, 2020",House Appropriations
H. Rept. 116-61,https://www.congress.gov/congressional-report/116th-congress/house-report/61/1,116th Congress (2019-2020),H.Res. 377,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 5) TO PROHIBIT DISCRIMINATION ON THE BASIS OF SEX, GENDER IDENTITY, AND SEXUAL ORIENTATION, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 312) TO REAFFIRM THE MASHPEE WAMPANOAG TRIBE RESERVATION, AND FOR OTHER PURPOSES; AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 987) TO AMEND THE PATIENT PROTECTION AND AFFORDABLE CARE ACT TO PROVIDE FOR FEDERAL EXCHANGE OUTREACH AND EDUCATIONAL ACTIVITIES",House Rules
H. Rept. 116-60,https://www.congress.gov/congressional-report/116th-congress/house-report/60/1,116th Congress (2019-2020),H.R. 389,KLEPTOCRACY ASSET RECOVERY REWARDS ACT,House Financial Services
H. Rept. 116-59,https://www.congress.gov/congressional-report/116th-congress/house-report/59/1,116th Congress (2019-2020),,"REPORT ON THE SUBALLOCATION OF BUDGET ALLOCATIONS FOR FISCAL YEAR 2020: SUBMITTED BY MRS. LOWEY, CHAIRWOMAN, COMMITTEE ON APPROPRIATIONS TOGETHER WITH MINORITY VIEWS",House Appropriations
H. Rept. 116-58,https://www.congress.gov/congressional-report/116th-congress/house-report/58/1,116th Congress (2019-2020),H.R. 299,BLUE WATER NAVY VIETNAM VETERANS ACT OF 2019,House Veterans' Affairs
H. Rept. 116-57,https://www.congress.gov/congressional-report/116th-congress/house-report/57/1,116th Congress (2019-2020),H.R. 1500,CONSUMERS FIRST ACT,House Financial Services
H. Rept. 116-56,https://www.congress.gov/congressional-report/116th-congress/house-report/56/1,116th Congress (2019-2020),H.R. 5,EQUALITY ACT,House Judiciary
"H. Rept. 116-55,Part 3",https://www.congress.gov/congressional-report/116th-congress/house-report/55/3,116th Congress (2019-2020),H.R. 965,CREATING AND RESTORING EQUAL ACCESS TO EQUIVALENT SAMPLES ACT OF 2019,House Judiciary
"H. Rept. 116-55,Part 2",https://www.congress.gov/congressional-report/116th-congress/house-report/55/2,116th Congress (2019-2020),H.R. 965,CREATING AND RESTORING EQUAL ACCESS TO EQUIVALENT SAMPLES ACT OF 2019,House Judiciary
"H. Rept. 116-55,Part 1",https://www.congress.gov/congressional-report/116th-congress/house-report/55/1,116th Congress (2019-2020),H.R. 965,CREATING AND RESTORING EQUAL ACCESS TO EQUIVALENT SAMPLES ACT OF 2019,House Energy and Commerce
H. Rept. 116-54,https://www.congress.gov/congressional-report/116th-congress/house-report/54/1,116th Congress (2019-2020),H.R. 312,MASHPEE WAMPANOAG TRIBE RESERVATION REAFFIRMATION ACT,House Natural Resources
H. Rept. 116-53,https://www.congress.gov/congressional-report/116th-congress/house-report/53/1,116th Congress (2019-2020),H.R. 987,MARKETING AND OUTREACH RESTORATION TO EMPOWER HEALTH EDUCATION ACT OF 2019,House Energy and Commerce
H. Rept. 116-52,https://www.congress.gov/congressional-report/116th-congress/house-report/52/1,116th Congress (2019-2020),H.R. 1499,PROTECTING CONSUMER ACCESS TO GENERIC DRUGS ACT OF 2019,House Energy and Commerce
H. Rept. 116-51,https://www.congress.gov/congressional-report/116th-congress/house-report/51/1,116th Congress (2019-2020),H.Res. 357,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 986) TO PROVIDE THAT CERTAIN GUIDANCE RELATED TO WAIVERS FOR STATE INNOVATION UNDER THE PATIENT PROTECTION AND AFFORDABLE CARE ACT SHALL HAVE NO FORCE OR EFFECT, AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2157) MAKING SUPPLEMENTAL APPROPRIATIONS FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES",House Rules
H. Rept. 116-50,https://www.congress.gov/congressional-report/116th-congress/house-report/50/1,116th Congress (2019-2020),H.R. 1386,"EXPAND NAVIGATORS' RESOURCES FOR OUTREACH, LEARNING, AND LONGEVITY ACT OF 2019",House Energy and Commerce
H. Rept. 116-49,https://www.congress.gov/congressional-report/116th-congress/house-report/49/1,116th Congress (2019-2020),H.R. 1385,STATE ALLOWANCE FOR A VARIETY OF EXCHANGES ACT,House Energy and Commerce
H. Rept. 116-48,https://www.congress.gov/congressional-report/116th-congress/house-report/48/1,116th Congress (2019-2020),H.R. 1520,PURPLE BOOK CONTINUITY ACT OF 2019,House Energy and Commerce
H. Rept. 116-47,https://www.congress.gov/congressional-report/116th-congress/house-report/47/1,116th Congress (2019-2020),H.R. 1503,ORANGE BOOK TRANSPARENCY ACT OF 2019,House Energy and Commerce
H. Rept. 116-46,https://www.congress.gov/congressional-report/116th-congress/house-report/46/1,116th Congress (2019-2020),H.R. 938,BRINGING LOW-COST OPTIONS AND COMPETITION WHILE KEEPING INCENTIVES FOR NEW GENERICS ACT OF 2019,House Energy and Commerce
H. Rept. 116-45,https://www.congress.gov/congressional-report/116th-congress/house-report/45/1,116th Congress (2019-2020),H.R. 1232,RESCINDING DHS' WAIVER AUTHORITY FOR BORDER WALL ACT,House Homeland Security
H. Rept. 116-44,https://www.congress.gov/congressional-report/116th-congress/house-report/44/1,116th Congress (2019-2020),H.R. 986,PROTECTING AMERICANS WITH PREEXISTING CONDITIONS ACT OF 2019,House Energy and Commerce
"H. Rept. 116-43,Part 2",https://www.congress.gov/congressional-report/116th-congress/house-report/43/2,116th Congress (2019-2020),H.R. 1010,"PROVIDING THAT THE RULE ENTITLED ``SHORT-TERM, LIMITED DURATION INSURANCE'' SHALL HAVE NO FORCE OR EFFECT",House Energy and Commerce
"H. Rept. 116-43,Part 1",https://www.congress.gov/congressional-report/116th-congress/house-report/43/1,116th Congress (2019-2020),H.R. 1010,"PROVIDING THAT THE RULE ENTITLED ``SHORT-TERM, LIMITED DURATION INSURANCE'' SHALL HAVE NO FORCE OR EFFECT",House Education and Labor
H. Rept. 116-42,https://www.congress.gov/congressional-report/116th-congress/house-report/42/1,116th Congress (2019-2020),H.Res. 329,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 9) TO DIRECT THE PRESIDENT TO DEVELOP A PLAN FOR THE UNITED STATES TO MEET ITS NATIONALLY DETERMINED CONTRIBUTION UNDER THE PARIS AGREEMENT, AND FOR OTHER PURPOSES",House Rules
"H. Rept. 116-41,Part 2",https://www.congress.gov/congressional-report/116th-congress/house-report/41/2,116th Congress (2019-2020),H.R. 9,CLIMATE ACTION NOW ACT,House Energy and Commerce
"H. Rept. 116-41,Part 1",https://www.congress.gov/congressional-report/116th-congress/house-report/41/1,116th Congress (2019-2020),H.R. 9,CLIMATE ACTION NOW ACT,House Foreign Affairs
H. Rept. 116-40,https://www.congress.gov/congressional-report/116th-congress/house-report/40/1,116th Congress (2019-2020),,AUTHORIZATION AND OVERSIGHT PLANS FOR ALL HOUSE COMMITTEES,House Oversight and Reform
H. Rept. 116-39,https://www.congress.gov/congressional-report/116th-congress/house-report/39/1,116th Congress (2019-2020),H.R. 1957,TAXPAYER FIRST ACT OF 2019,House Ways and Means
H. Rept. 116-38,https://www.congress.gov/congressional-report/116th-congress/house-report/38/1,116th Congress (2019-2020),H.R. 1759,BUILDING ON REEMPLOYMENT IMPROVEMENTS TO DELIVER GOOD EMPLOYMENT FOR WORKERS ACT,House Ways and Means
H. Rept. 116-37,https://www.congress.gov/congressional-report/116th-congress/house-report/37/1,116th Congress (2019-2020),H.Res. 294,PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1644) TO RESTORE THE OPEN INTERNET ORDER OF THE FEDERAL COMMUNICATIONS COMMISSION; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 2021) TO AMEND THE BALANCED BUDGET AND EMERGENCY DEFICIT CONTROL ACT OF 1985 AND TO ESTABLISH A CONGRESSIONAL BUDGET FOR FISCAL YEAR 2020; AND FOR OTHER PURPOSES,House Rules
H. Rept. 116-36,https://www.congress.gov/congressional-report/116th-congress/house-report/36/1,116th Congress (2019-2020),H.R. 1331,LOCAL WATER PROTECTION ACT,House Transportation and Infrastructure
H. Rept. 116-35,https://www.congress.gov/congressional-report/116th-congress/house-report/35/1,116th Congress (2019-2020),H.R. 2021,INVESTING FOR THE PEOPLE ACT OF 2019,House Budget
H. Rept. 116-34,https://www.congress.gov/congressional-report/116th-congress/house-report/34/1,116th Congress (2019-2020),H.R. 1644,SAVE THE INTERNET ACT OF 2019,House Energy and Commerce
H. Rept. 116-33,https://www.congress.gov/congressional-report/116th-congress/house-report/33/1,116th Congress (2019-2020),H.Res. 243,"RESOLUTION OF INQUIRY REQUESTING THE PRESIDENT AND DIRECTING THE ATTORNEY GENERAL TO TRANSMIT, RESPECTIVELY, CERTAIN DOCUMENTS TO THE HOUSE OF REPRESENTATIVES RELATING TO THE ACTIONS OF FORMER FEDERAL BUREAU OF INVESTIGATION ACTING DIRECTOR ANDREW MCCABE",House Judiciary
H. Rept. 116-32,https://www.congress.gov/congressional-report/116th-congress/house-report/32/1,116th Congress (2019-2020),H.Res. 281,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1585) TO REAUTHORIZE THE VIOLENCE AGAINST WOMEN ACT OF 1994, AND FOR OTHER PURPOSES",House Rules
H. Rept. 116-31,https://www.congress.gov/congressional-report/116th-congress/house-report/31/1,116th Congress (2019-2020),H.Con.Res. 19,AUTHORIZING THE USE OF THE CAPITOL GROUNDS FOR THE GREATER WASHINGTON SOAP BOX DERBY,House Transportation and Infrastructure
H. Rept. 116-30,https://www.congress.gov/congressional-report/116th-congress/house-report/30/1,116th Congress (2019-2020),H.Con.Res. 16,AUTHORIZING THE USE OF THE CAPITOL GROUNDS FOR THE NATIONAL PEACE OFFICERS MEMORIAL SERVICE AND THE NATIONAL HONOR GUARD AND PIPE BAND EXHIBITION,House Transportation and Infrastructure
H. Rept. 116-29,https://www.congress.gov/congressional-report/116th-congress/house-report/29/1,116th Congress (2019-2020),H.R. 639,TO AMEND SECTION 327 OF THE ROBERT T. STAFFORD DISASTER RELIEF AND EMERGENCY ASSISTANCE ACT TO CLARIFY THAT NATIONAL URBAN SEARCH AND RESCUE RESPONSE SYSTEM TASK FORCES MAY INCLUDE FEDERAL EMPLOYEES,House Transportation and Infrastructure
H. Rept. 116-28,https://www.congress.gov/congressional-report/116th-congress/house-report/28/1,116th Congress (2019-2020),H.Res. 274,PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (S.J. RES. 7) TO DIRECT THE REMOVAL OF UNITED STATES ARMED FORCES FROM HOSTILITIES IN THE REPUBLIC OF YEMEN THAT HAVE NOT BEEN AUTHORIZED BY CONGRESS; PROVIDING FOR CONSIDERATION OF THE RESOLUTION (H. RES. 271) CONDEMNING THE TRUMP ADMINISTRATION'S LEGAL CAMPAIGN TO TAKE AWAY AMERICANS' HEALTH CARE; AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES,House Rules
H. Rept. 116-27,https://www.congress.gov/congressional-report/116th-congress/house-report/27/1,116th Congress (2019-2020),H.R. 1590,TERRORIST AND FOREIGN FIGHTER TRAVEL EXERCISE ACT OF 2019,House Homeland Security
H. Rept. 116-26,https://www.congress.gov/congressional-report/116th-congress/house-report/26/1,116th Congress (2019-2020),H.R. 1433,"DEPARTMENT OF HOMELAND SECURITY MORALE, RECOGNITION, LEARNING AND ENGAGEMENT ACT OF 2019",House Homeland Security
H. Rept. 116-25,https://www.congress.gov/congressional-report/116th-congress/house-report/25/1,116th Congress (2019-2020),H.R. 1593,COORDINATING AND LEVERAGING ACTIVITIES FOR SCHOOL SECURITY ACT,House Homeland Security
H. Rept. 116-24,https://www.congress.gov/congressional-report/116th-congress/house-report/24/1,116th Congress (2019-2020),H.R. 1589,CBRN INTELLIGENCE AND INFORMATION SHARING ACT OF 2019,House Homeland Security
H. Rept. 116-23,https://www.congress.gov/congressional-report/116th-congress/house-report/23/1,116th Congress (2019-2020),H.R. 1639,CBP WORKLOAD STAFFING MODEL ACT,House Homeland Security
H. Rept. 116-22,https://www.congress.gov/congressional-report/116th-congress/house-report/22/1,116th Congress (2019-2020),H.R. 1598,U.S. CUSTOMS AND BORDER PROTECTION RURAL AND REMOTE HIRING AND RETENTION STRATEGY ACT OF 2019,House Homeland Security
H. Rept. 116-21,https://www.congress.gov/congressional-report/116th-congress/house-report/21/1,116th Congress (2019-2020),H.R. 1585,VIOLENCE AGAINST WOMEN REAUTHORIZATION ACT OF 2019,House Judiciary
H. Rept. 116-20,https://www.congress.gov/congressional-report/116th-congress/house-report/20/1,116th Congress (2019-2020),H.Res. 245,PROVIDING FOR THE EXPENSES OF CERTAIN COMMITTEES OF THE HOUSE OF REPRESENTATIVES IN THE ONE HUNDRED SIXTEENTH CONGRESS,Committee on House Administration
H. Rept. 116-19,https://www.congress.gov/congressional-report/116th-congress/house-report/19/1,116th Congress (2019-2020),H.Res. 252,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 7) TO AMEND THE FAIR LABOR STANDARDS ACT OF 1938 TO PROVIDE MORE EFFECTIVE REMEDIES TO VICTIMS OF DISCRIMINATION IN THE PAYMENT OF WAGES ON THE BASIS OF SEX, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF THE RESOLUTION (H. RES. 124) EXPRESSING OPPOSITION TO BANNING SERVICE IN THE ARMED FORCES BY OPENLY TRANSGENDER INDIVIDUALS",House Rules
H. Rept. 116-18,https://www.congress.gov/congressional-report/116th-congress/house-report/18/1,116th Congress (2019-2020),H.R. 7,PAYCHECK FAIRNESS ACT,House Education and Labor
H. Rept. 116-17,https://www.congress.gov/congressional-report/116th-congress/house-report/17/1,116th Congress (2019-2020),H.Res. 208,"PROVIDING FOR CONSIDERATION OF THE CONCURRENT RESOLUTION (H. CON. RES. 24) EXPRESSING THE SENSE OF CONGRESS THAT THE REPORT OF SPECIAL COUNSEL MUELLER SHOULD BE MADE AVAILABLE TO THE PUBLIC AND TO CONGRESS, AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM MARCH 15, 2019, THROUGH MARCH 22, 2019",House Rules
H. Rept. 116-16,https://www.congress.gov/congressional-report/116th-congress/house-report/16/1,116th Congress (2019-2020),H.Res. 172,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1) TO EXPAND AMERICANS' ACCESS TO THE BALLOT BOX, REDUCE THE INFLUENCE OF BIG MONEY IN POLITICS, AND STRENGTHEN ETHICS RULES FOR PUBLIC SERVANTS, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES",House Rules
H. Rept. 116-15,https://www.congress.gov/congressional-report/116th-congress/house-report/15/1,116th Congress (2019-2020),H.R. 1,FOR THE PEOPLE ACT OF 2019,Committee on House Administration
H. Rept. 116-14,https://www.congress.gov/congressional-report/116th-congress/house-report/14/1,116th Congress (2019-2020),H.Res. 145,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 8) TO REQUIRE A BACKGROUND CHECK FOR EVERY FIREARM SALE, AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 1112) TO AMEND CHAPTER 44 OF TITLE 18, UNITED STATES CODE, TO STRENGTHEN THE BACKGROUND CHECK PROCEDURES TO BE FOLLOWED BEFORE A FEDERAL FIREARMS LICENSEE MAY TRANSFER A FIREARM TO A PERSON WHO IS NOT SUCH A LICENSEE",House Rules
H. Rept. 116-13,https://www.congress.gov/congressional-report/116th-congress/house-report/13/1,116th Congress (2019-2020),H.Res. 144,"PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 46) RELATING TO A NATIONAL EMERGENCY DECLARED BY THE PRESIDENT ON FEBRUARY 15, 2019",House Rules
H. Rept. 116-12,https://www.congress.gov/congressional-report/116th-congress/house-report/12/1,116th Congress (2019-2020),H.R. 1112,ENHANCED BACKGROUND CHECKS ACT OF 2019,House Judiciary
H. Rept. 116-11,https://www.congress.gov/congressional-report/116th-congress/house-report/11/1,116th Congress (2019-2020),H.R. 8,BIPARTISAN BACKGROUND CHECKS ACT OF 2019,House Judiciary
H. Rept. 116-10,https://www.congress.gov/congressional-report/116th-congress/house-report/10/1,116th Congress (2019-2020),H.Res. 131,"PROVIDING FOR CONSIDERATION OF THE CONFERENCE REPORT TO ACCOMPANY THE JOINT RESOLUTION (H.J. RES. 31) MAKING FURTHER CONTINUING APPROPRIATIONS FOR THE DEPARTMENT OF HOMELAND SECURITY FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES, AND PROVIDING FOR PROCEEDINGS DURING THE PERIOD FROM FEBRUARY 15, 2019, THROUGH FEBRUARY 22, 2019",House Rules
H. Rept. 116-9,https://www.congress.gov/congressional-report/116th-congress/house-report/9/1,116th Congress (2019-2020),H.J.Res. 31,"MAKING FURTHER CONTINUING APPROPRIATIONS FOR THE DEPARTMENT OF HOMELAND SECURITY FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES",
H. Rept. 116-8,https://www.congress.gov/congressional-report/116th-congress/house-report/8/1,116th Congress (2019-2020),H.Res. 122,PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 37) DIRECTING THE REMOVAL OF UNITED STATES ARMED FORCES FROM HOSTILITIES IN THE REPUBLIC OF YEMEN THAT HAVE NOT BEEN AUTHORIZED BY CONGRESS; WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES; AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES,House Rules
H. Rept. 116-7,https://www.congress.gov/congressional-report/116th-congress/house-report/7/1,116th Congress (2019-2020),H.J.Res. 37,DIRECTING THE REMOVAL OF UNITED STATES ARMED FORCES FROM HOSTILITIES IN THE REPUBLIC OF YEMEN THAT HAVE NOT BEEN AUTHORIZED BY CONGRESS,House Foreign Affairs
H. Rept. 116-6,https://www.congress.gov/congressional-report/116th-congress/house-report/6/1,116th Congress (2019-2020),H.Res. 105,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 840) TO AMEND TITLE 38, UNITED STATES CODE, TO DIRECT THE SECRETARY OF VETERANS AFFAIRS TO PROVIDE CHILD CARE ASSISTANCE TO VETERANS RECEIVING CERTAIN MEDICAL SERVICES PROVIDED BY THE DEPARTMENT OF VETERANS AFFAIRS; PROVIDING FOR THE ADOPTION OF THE RESOLUTION (H. RES. 86) PROVIDING AMOUNTS FOR THE EXPENSES OF THE SELECT COMMITTEE ON THE CLIMATE CRISIS AND THE SELECT COMMITTEE ON THE MODERNIZATION OF CONGRESS; AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES.",House Rules
H. Rept. 116-5,https://www.congress.gov/congressional-report/116th-congress/house-report/5/1,116th Congress (2019-2020),H.Res. 87,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 790) TO PROVIDE FOR A PAY INCREASE IN 2019 FOR CERTAIN CIVILIAN EMPLOYEES OF THE FEDERAL GOVERNMENT, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES",House Rules
H. Rept. 116-4,https://www.congress.gov/congressional-report/116th-congress/house-report/4/1,116th Congress (2019-2020),H.Res. 61,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 648) MAKING APPROPRIATIONS FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 31) MAKING FURTHER CONTINUING APPROPRIATIONS FOR THE DEPARTMENT OF HOMELAND SECURITY FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES; AND WAIVING A REQUIREMENT OF CLAUSE 6(A) OF RULE XIII WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM THE COMMITTEE ON RULES",House Rules
H. Rept. 116-3,https://www.congress.gov/congressional-report/116th-congress/house-report/3/1,116th Congress (2019-2020),H.Res. 52,"PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (H.J. RES. 28) MAKING FURTHER CONTINUING APPROPRIATIONS FOR FISCAL YEAR 2019, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF MOTIONS TO SUSPEND THE RULES",House Rules
